month,kakaopage,naver_series,naver_webtoon
2013-01-01,0,1,0
2013-10-01,1,0,0
2013-11-01,1,5,0
2013-12-01,3,2,0
2014-01-01,1,2,0
2014-02-01,2,4,0
2014-03-01,2,4,0
2014-04-01,1,3,0
2014-05-01,4,1,0
2014-06-01,2,5,0
2014-07-01,4,7,1
2014-08-01,3,1,0
2014-09-01,3,3,0
2014-10-01,4,3,0
2014-11-01,4,5,0
2014-12-01,3,7,0
2015-01-01,8,3,0
2015-02-01,2,4,0
2015-03-01,5,7,0
2015-04-01,15,2,0
2015-05-01,8,3,0
2015-06-01,12,5,0
2015-07-01,21,5,0
2015-08-01,8,2,0
2015-09-01,13,5,0
2015-10-01,9,2,0
2015-11-01,15,4,0
2015-12-01,14,5,0
2016-01-01,14,8,0
2016-02-01,12,12,0
2016-03-01,23,8,0
2016-04-01,17,7,0
2016-05-01,14,14,0
2016-06-01,16,15,0
2016-07-01,25,13,0
2016-08-01,30,17,0
2016-09-01,19,11,0
2016-10-01,16,7,0
2016-11-01,18,10,0
2016-12-01,19,22,0
2017-01-01,18,11,0
2017-02-01,30,18,0
2017-03-01,41,20,0
2017-04-01,27,15,0
2017-05-01,23,18,0
2017-06-01,29,15,0
2017-07-01,23,28,0
2017-08-01,25,28,0
2017-09-01,26,19,0
2017-10-01,26,17,0
2017-11-01,21,20,0
2017-12-01,32,21,0
2018-01-01,38,24,0
2018-02-01,32,17,0
2018-03-01,42,16,0
2018-04-01,24,14,0
2018-05-01,36,25,0
2018-06-01,39,23,0
2018-07-01,36,12,0
2018-08-01,42,33,0
2018-09-01,36,28,0
2018-10-01,45,38,0
2018-11-01,43,39,0
2018-12-01,39,29,0
2019-01-01,47,33,0
2019-02-01,46,35,0
2019-03-01,49,34,0
2019-04-01,49,29,0
2019-05-01,46,37,0
2019-06-01,58,49,0
2019-07-01,63,65,0
2019-08-01,57,29,0
2019-09-01,45,37,0
2019-10-01,44,28,1
2019-11-01,54,33,1
2019-12-01,46,39,0
2020-01-01,58,53,1
2020-02-01,51,48,1
2020-03-01,48,46,0
2020-04-01,48,62,0
2020-05-01,45,64,0
2020-06-01,58,70,1
2020-07-01,52,53,0
2020-08-01,69,58,1
2020-09-01,55,71,1
2020-10-01,49,60,0
2020-11-01,61,63,1
2020-12-01,74,64,1
2021-01-01,61,57,0
2021-02-01,51,55,0
2021-03-01,51,77,2
2021-04-01,69,77,1
2021-05-01,74,66,0
2021-06-01,53,81,0
2021-07-01,66,76,1
2021-08-01,72,86,1
2021-09-01,57,74,0
2021-10-01,67,86,0
2021-11-01,67,119,2
2021-12-01,63,112,1
2022-01-01,70,78,0
2022-02-01,68,66,1
2022-03-01,93,94,0
2022-04-01,80,93,1
2022-05-01,84,94,7
2022-06-01,83,91,1
2022-07-01,85,107,6
2022-08-01,91,114,2
2022-09-01,91,113,3
2022-10-01,77,98,6
2022-11-01,93,125,3
2022-12-01,106,129,5
2023-01-01,78,110,7
2023-02-01,70,117,2
2023-03-01,82,131,1
2023-04-01,78,128,4
2023-05-01,72,125,1
2023-06-01,85,128,1
2023-07-01,80,136,5
2023-08-01,87,105,9
2023-09-01,94,120,5
2023-10-01,84,100,7
2023-11-01,81,138,8
2023-12-01,107,146,4
2024-01-01,82,95,4
2024-02-01,96,99,9
2024-03-01,68,118,3
2024-04-01,67,150,5
2024-05-01,70,111,6
2024-06-01,81,117,6
2024-07-01,111,105,2
2024-08-01,96,103,6
2024-09-01,77,106,4
2024-10-01,90,118,2
2024-11-01,92,139,10
2024-12-01,87,113,6
2025-01-01,96,88,8
2025-02-01,75,116,6
2025-03-01,67,109,5
2025-04-01,82,111,6
2025-05-01,67,96,5
2025-06-01,86,145,6
2025-07-01,92,141,7
2025-08-01,92,88,2
2025-09-01,80,98,5
2025-10-01,91,73,5
2025-11-01,80,100,3
2025-12-01,63,126,8
2026-01-01,69,105,1
2026-02-01,70,106,2
2026-03-01,49,112,7
2026-04-01,53,74,3
